full_name,age,position,Current Club,minutes_played_overall,goals_overall,assists_overall,cards_per_90_overall,conceded_per_90_overall,min_per_match,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders
Eden Hazard,31,Midfielder,Chelsea,2926,16,15,0.06,1.05,79,18,5,-1
Ederson,29,Goalkeeper,Manchester City,3420,0,1,0.05,0.61,90,366,240,13
Edward Nketiah,23,Forward,Arsenal,62,1,0,0.0,2.9,12,-1,-1,-1
Elias Kachunga,30,Forward,Huddersfield Town,1181,0,0,0.15,2.13,59,303,259,-1
Emerson Hyndman,26,Midfielder,AFC Bournemouth,37,0,0,0.0,4.86,37,-1,-1,-1
Emerson Palmieri,28,Defender,Chelsea,660,0,0,0.0,1.36,66,274,296,96
Emile Smith Rowe,22,Midfielder,Arsenal,0,0,0,0.0,0.0,0,-1,-1,-1
Emiliano Martínez,30,Goalkeeper,Arsenal,0,0,0,0.0,0.0,0,-1,-1,-1
Eric Bailly,28,Defender,Manchester United,637,0,0,0.28,1.7,53,340,310,141
Eric Dier,28,Midfielder,Tottenham Hotspur,1510,3,0,0.24,0.95,76,107,278,-1
Erik Durm,30,Defender,Huddersfield Town,2052,0,1,0.0,1.89,73,305,232,156
Erik Lamela,30,Midfielder,Tottenham Hotspur,971,4,2,0.19,1.02,51,45,69,-1
Ethan Ampadu,22,Midfielder,Chelsea,0,0,0,0.0,0.0,0,-1,-1,-1
Étienne Capoue,34,Midfielder,Watford,2947,1,3,0.49,1.44,89,253,153,-1
Fabián Balbuena,31,Defender,West Ham United,2014,1,0,0.09,1.21,88,231,356,66
Fabian Delph,32,Midfielder,Manchester City,725,0,1,0.37,1.12,66,295,123,-1
Fabian Schär,30,Defender,Newcastle United,2002,4,1,0.54,0.94,83,110,230,23
Fabinho,29,Midfielder,Liverpool,2013,1,2,0.27,0.58,72,229,166,-1
Fabricio Martín Agosto Ramírez,34,Goalkeeper,Fulham,180,0,0,0.0,2.5,90,-1,-1,-1
Faustino Marcos Alberto Rojo,32,Defender,Manchester United,211,0,0,0.85,1.71,42,-1,-1,-1
Federico Fernández,33,Defender,Newcastle United,1484,0,1,0.12,1.33,78,297,194,90
Felipe Anderson,29,Midfielder,West Ham United,3054,9,4,0.09,1.27,85,70,130,-1
Fernandinho,37,Midfielder,Manchester City,2381,1,3,0.19,0.57,82,228,132,-1
Fernando Llorente Torres,37,Forward,Tottenham Hotspur,683,1,4,0.26,1.05,34,133,2,-1
Florent Hadergjonaj,28,Defender,Huddersfield Town,1840,0,0,0.05,1.66,77,329,376,135
Florian Lejeune,31,Defender,Newcastle United,1055,0,0,0.0,1.02,88,278,301,36
Florin Andone,29,Forward,Brighton & Hove Albion,874,3,0,0.51,1.34,38,60,289,-1
Floyd Ayité,33,Midfielder,Fulham,465,1,0,0.0,2.52,29,101,268,-1
Fousseni Diabaté,27,Midfielder,Leicester City,55,0,0,0.0,1.64,55,-1,-1,-1
Fraser Forster,34,Goalkeeper,Southampton,90,0,0,0.0,3.0,90,-1,-1,-1
Fred,29,Midfielder,Manchester United,1045,1,1,0.17,1.64,61,178,156,-1
Freddie Woodman,25,Goalkeeper,Newcastle United,0,0,0,0.0,0.0,0,-1,-1,-1
Gabriel Jesus,25,Forward,Manchester City,1019,7,3,0.09,0.97,35,6,33,-1
Gaëtan Bong Songo,34,Defender,Brighton & Hove Albion,1805,0,0,0.0,1.6,82,401,336,132
Gary Cahill,36,Defender,Chelsea,22,0,0,0.0,0.0,11,-1,-1,-1
Gary Madine,32,Forward,Cardiff City,32,0,0,0.0,5.63,6,-1,-1,-1
George Marsh,23,Midfielder,Tottenham Hotspur,0,0,0,0.0,0.0,0,-1,-1,-1
Georges-Kevin N'Koudou Mbida,27,Forward,Tottenham Hotspur,4,0,1,0.0,0.0,4,-1,-1,-1
Georginio Wijnaldum,31,Midfielder,Liverpool,2735,3,0,0.1,0.49,78,164,416,-1
Gerard Deulofeu,28,Forward,Watford,2082,10,5,0.13,1.21,69,29,59,-1
Glenn Murray,39,Forward,Brighton & Hove Albion,2513,13,1,0.18,1.58,66,24,227,-1
Gonzalo Higuain,34,Forward,Chelsea,1092,5,0,0.0,1.24,78,33,306,-1
Grady Diangana,24,Midfielder,West Ham United,604,0,1,0.0,1.64,36,298,89,-1
Granit Xhaka,30,Midfielder,Arsenal,2502,4,2,0.36,1.26,86,127,183,-1
Greg Cunningham,31,Defender,Cardiff City,630,0,0,0.43,2.29,90,313,381,170
Gylfi Sigurdsson,33,Midfielder,Everton,3134,13,6,0.09,1.15,82,43,86,-1
Hamza Choudhury,25,Midfielder,Leicester City,596,0,0,0.0,0.6,66,275,297,-1
Harry Arter,32,Midfielder,Cardiff City,2008,0,1,0.45,1.66,80,304,221,-1
Harry Kane,29,Forward,Tottenham Hotspur,2427,17,4,0.19,1.04,87,5,94,-1
Harry Maguire,29,Defender,Leicester City,2599,3,0,0.28,1.25,84,165,299,78
Harry Winks,26,Midfielder,Tottenham Hotspur,1591,1,0,0.23,0.91,61,207,335,-1
Harvey Barnes,24,Midfielder,Leicester City,1007,1,2,0.0,1.43,63,175,78,-1
Håvard Nordtveit,32,Midfielder,Fulham,361,0,1,0.0,2.24,72,419,41,-1
Hector Bellerin,27,Defender,Arsenal,1535,0,5,0.18,1.17,81,385,26,61
Hélder Wander Sousa Azevedo Costa,28,Midfielder,Wolverhampton Wanderers,1345,1,2,0.2,1.2,54,200,113,-1
Henrikh Mkhitaryan,33,Midfielder,Arsenal,1643,6,4,0.05,1.37,66,53,56,-1
Heung-Min Son,30,Forward,Tottenham Hotspur,2048,12,6,0.18,0.88,66,14,34,-1
Heurelho da Silva Gomes,41,Goalkeeper,Watford,0,0,0,0.0,0.0,0,-1,-1,-1
Hugo Lloris,35,Goalkeeper,Tottenham Hotspur,2970,0,0,0.0,0.91,90,339,284,21
Ibrahima Cissé,28,Midfielder,Fulham,87,0,0,0.0,3.1,29,-1,-1,-1
Idrissa Gueye,33,Midfielder,Everton,2825,0,2,0.19,0.92,86,413,193,-1
İlkay Gündoğan,32,Midfielder,Manchester City,2135,6,3,0.13,0.63,69,78,120,-1
Isaac Hayden,27,Midfielder,Newcastle United,1886,1,4,0.24,1.19,75,219,67,-1
Isaac Mbenza,26,Forward,Huddersfield Town,981,1,1,0.09,2.29,45,172,165,-1
Isaac Success,26,Forward,Watford,1037,1,1,0.35,1.74,35,181,154,-1
Issa Diop,25,Defender,West Ham United,2970,1,0,0.12,1.15,90,248,364,55
Ivan Ricardo Neves Abreu Cavaleiro,29,Forward,Wolverhampton Wanderers,683,3,1,0.13,1.32,30,34,119,-1
Jack Cork,33,Midfielder,Burnley,3313,1,2,0.16,1.47,90,249,204,-1
Jack Simpson,25,Defender,AFC Bournemouth,403,0,0,0.0,2.01,67,272,314,163
Jack Stephens,28,Defender,Southampton,1697,1,0,0.21,1.59,71,223,369,130
Jack Wilshere,30,Midfielder,West Ham United,389,0,1,0.46,1.85,49,369,48,-1
Jacob Murphy,27,Midfielder,Newcastle United,300,0,1,0.0,2.1,33,301,21,-1
Jaïro Riedewald,26,Defender,Crystal Palace,0,0,0,0.0,0.0,0,-1,-1,-1
Jamaal Lascelles,28,Defender,Newcastle United,2748,0,1,0.13,1.08,86,346,245,41
James Garner,21,Defender,Manchester United,0,0,0,0.0,0.0,0,-1,-1,-1
James Maddison,25,Midfielder,Leicester City,2850,7,7,0.16,1.23,79,83,60,-1
James McArthur,35,Midfielder,Crystal Palace,3071,3,6,0.21,1.29,81,179,74,-1
James McCarthy,31,Midfielder,Everton,14,0,0,0.0,0.0,14,-1,-1,-1
James Milner,36,Midfielder,Liverpool,1785,5,4,0.35,0.55,58,81,65,-1
James Tarkowski,29,Defender,Burnley,3087,3,1,0.23,1.52,88,170,238,121
James Tomkins,33,Defender,Crystal Palace,2563,1,1,0.21,1.19,88,235,215,63
James Ward-Prowse,27,Midfielder,Southampton,1942,7,0,0.19,1.67,75,58,347,-1
Jamie Sterry,26,Defender,Newcastle United,0,0,0,0.0,0.0,0,-1,-1,-1
Jamie Vardy,35,Forward,Leicester City,2735,18,4,0.16,1.09,80,9,118,-1
Jan Bednarek,26,Defender,Southampton,2151,0,1,0.29,1.38,86,377,225,98
Jan Vertonghen,35,Defender,Tottenham Hotspur,1915,1,0,0.23,0.99,87,225,282,31
Jannik Vestergaard,30,Defender,Southampton,2030,0,0,0.09,1.2,88,373,367,65
Jason Puncheon,36,Midfielder,Huddersfield Town,391,0,0,0.23,1.84,36,302,258,-1
Jason Steele,32,Goalkeeper,Brighton & Hove Albion,0,0,0,0.0,0.0,0,-1,-1,-1
Javier Hernandez,34,Forward,West Ham United,1335,7,1,0.13,1.08,53,23,186,-1
Javier Manquillo,28,Defender,Newcastle United,1097,0,3,0.16,0.98,61,350,40,30
Jayson Molumby,23,Midfielder,Brighton & Hove Albion,0,0,0,0.0,0.0,0,-1,-1,-1
Jazz Richards,31,Defender,Cardiff City,128,0,0,0.0,2.81,32,-1,-1,-1
Jean Michau00ebl Seri,31,Midfielder,Fulham,2252,1,2,0.24,2.12,70,236,171,-1
Jeff Hendrick,30,Midfielder,Burnley,2069,3,0,0.17,1.78,65,131,349,-1
Jefferson Lerma,28,Midfielder,AFC Bournemouth,2511,2,0,0.43,1.61,84,202,288,-1
Jeffrey Schlupp,29,Defender,Crystal Palace,1665,4,1,0.05,1.3,56,89,209,86
Jermain Defoe,40,Forward,AFC Bournemouth,21,0,0,0.0,8.57,5,-1,-1,-1
Jesse Lingard,29,Midfielder,Manchester United,1668,4,2,0.16,1.35,62,87,135,-1
João Moutinho,36,Midfielder,Wolverhampton Wanderers,3040,1,8,0.12,1.1,80,258,44,-1
Joe Bennett,32,Defender,Cardiff City,2641,0,1,0.17,1.47,88,324,241,112
Joe Bryan,29,Defender,Fulham,2350,0,1,0.19,1.95,84,316,218,158
Joe Daniel Tupper,24,Goalkeeper,Crystal Palace,0,0,0,0.0,0.0,0,-1,-1,-1
Joe Gomez,25,Defender,Liverpool,1060,0,0,0.17,0.25,66,407,398,1
Joe Hart,35,Goalkeeper,Burnley,1710,0,0,0.0,1.79,90,367,341,149
Joe Powell,24,Forward,West Ham United,0,0,0,0.0,0.0,0,-1,-1,-1
Joe Ralls,29,Midfielder,Cardiff City,1959,0,0,0.28,1.61,70,336,383,-1
Joel Coleman,27,Goalkeeper,Huddersfield Town,90,0,0,0.0,1.0,90,-1,-1,-1
Joel Matip,31,Defender,Liverpool,1532,1,0,0.18,0.53,70,215,286,8
Joel Ward,32,Defender,Crystal Palace,551,1,0,0.16,1.96,79,114,358,159
Johann Berg Guðmunds­son,32,Midfielder,Burnley,1748,3,6,0.1,1.6,60,122,18,-1
John Ruddy,36,Goalkeeper,Wolverhampton Wanderers,90,0,0,0.0,0.0,90,-1,-1,-1
John Stones,28,Defender,Manchester City,1762,0,0,0.05,0.77,73,309,418,17
Jon Gorenc Stankovič,26,Defender,Huddersfield Town,718,1,0,0.25,2.38,65,139,291,171
Jonas Lössl,33,Goalkeeper,Huddersfield Town,2777,0,1,0.03,1.69,90,333,247,139
